,Item_Identifier,Item_Weight,Item_Fat_Content,Item_Visibility,Item_Type,Item_MRP,Outlet_Identifier,Outlet_Size,Outlet_Location_Type,Outlet_Type,Item_Outlet_Sales,source,Outlet_Year
0,FDA15,9.3,Low Fat,0.016047301,Dairy,249.8092,OUT049,Medium,Tier 1,Supermarket Type1,3735.138,Train,24
1,DRC01,5.92,Regular,0.019278216,Soft Drinks,48.2692,OUT018,Medium,Tier 3,Supermarket Type2,443.4228,Train,14
2,FDN15,17.5,Low Fat,0.016760075,Meat,141.618,OUT049,Medium,Tier 1,Supermarket Type1,2097.27,Train,24
3,FDX07,19.2,Regular,0.01783433788888889,Fruits and Vegetables,182.095,OUT010,Small,Tier 3,Grocery Store,732.38,Train,25
4,NCD19,8.93,Low Fat,0.009779828555555556,Household,53.8614,OUT013,High,Tier 3,Supermarket Type1,994.7052,Train,36
5,FDP36,10.395,Regular,0.057058688875,Baking Goods,51.4008,OUT018,Medium,Tier 3,Supermarket Type2,556.6088,Train,14
6,FDO10,13.65,Regular,0.012741089,Snack Foods,57.6588,OUT013,High,Tier 3,Supermarket Type1,343.5528,Train,36
7,FDP10,19.0,Low Fat,0.127469857,Snack Foods,107.7622,OUT027,Medium,Tier 3,Supermarket Type3,4022.7636,Train,38
8,FDH17,16.2,Regular,0.016687114,Frozen Foods,96.9726,OUT045,Small,Tier 2,Supermarket Type1,1076.5986,Train,21
9,FDU28,19.2,Regular,0.09444959,Frozen Foods,187.8214,OUT017,Small,Tier 2,Supermarket Type1,4710.535,Train,16
10,FDY07,11.8,Low Fat,0.040626524444444444,Fruits and Vegetables,45.5402,OUT049,Medium,Tier 1,Supermarket Type1,1516.0266,Train,24
11,FDA03,18.5,Regular,0.045463773,Dairy,144.1102,OUT046,Small,Tier 1,Supermarket Type1,2187.153,Train,26
12,FDX32,15.1,Regular,0.1000135,Fruits and Vegetables,145.4786,OUT049,Medium,Tier 1,Supermarket Type1,1589.2646,Train,24
13,FDS46,17.6,Regular,0.047257328,Snack Foods,119.6782,OUT046,Small,Tier 1,Supermarket Type1,2145.2076,Train,26
14,FDF32,16.35,Low Fat,0.0680243,Fruits and Vegetables,196.4426,OUT013,High,Tier 3,Supermarket Type1,1977.426,Train,36
15,FDP49,9.0,Regular,0.069088961,Breakfast,56.3614,OUT046,Small,Tier 1,Supermarket Type1,1547.3192,Train,26
16,NCB42,11.8,Low Fat,0.008596051,Health and Hygiene,115.3492,OUT018,Medium,Tier 3,Supermarket Type2,1621.8888,Train,14
17,FDP49,9.0,Regular,0.069196376,Breakfast,54.3614,OUT049,Medium,Tier 1,Supermarket Type1,718.3982,Train,24
18,DRI11,8.26,Low Fat,0.034237682,Hard Drinks,113.2834,OUT027,Medium,Tier 3,Supermarket Type3,2303.668,Train,38
19,FDU02,13.35,Low Fat,0.10249212,Dairy,230.5352,OUT035,Small,Tier 2,Supermarket Type1,2748.4224,Train,19
20,FDN22,18.85,Regular,0.138190277,Snack Foods,250.8724,OUT013,High,Tier 3,Supermarket Type1,3775.086,Train,36
21,FDW12,8.315,Regular,0.035399923,Baking Goods,144.5444,OUT027,Medium,Tier 3,Supermarket Type3,4064.0432,Train,38
22,NCB30,14.6,Low Fat,0.025698134,Household,196.5084,OUT035,Small,Tier 2,Supermarket Type1,1587.2672,Train,19
23,FDC37,15.5,Low Fat,0.057556998,Baking Goods,107.6938,OUT019,Small,Tier 1,Grocery Store,214.3876,Train,38
24,FDR28,13.85,Regular,0.025896485,Frozen Foods,165.021,OUT046,Small,Tier 1,Supermarket Type1,4078.025,Train,26
25,NCD06,13.0,Low Fat,0.099887103,Household,45.906,OUT017,Small,Tier 2,Supermarket Type1,838.908,Train,16
26,FDV10,7.645,Regular,0.066693437,Snack Foods,42.3112,OUT035,Small,Tier 2,Supermarket Type1,1065.28,Train,19
27,DRJ59,11.65,Low Fat,0.019356132,Hard Drinks,39.1164,OUT013,High,Tier 3,Supermarket Type1,308.9312,Train,36
28,FDE51,5.925,Regular,0.161466534,Dairy,45.5086,OUT010,Small,Tier 3,Grocery Store,178.4344,Train,25
29,FDC14,14.5,Regular,0.072221801,Canned,43.6454,OUT019,Small,Tier 1,Grocery Store,125.8362,Train,38
30,FDV38,19.25,Low Fat,0.170348551,Dairy,55.7956,OUT010,Small,Tier 3,Grocery Store,163.7868,Train,25
31,NCS17,18.6,Low Fat,0.080829372,Health and Hygiene,96.4436,OUT018,Medium,Tier 3,Supermarket Type2,2741.7644,Train,14
32,FDP33,18.7,Low Fat,0.0930934742,Snack Foods,256.6672,OUT018,Medium,Tier 3,Supermarket Type2,3068.0064,Train,14
33,FDO23,17.85,Low Fat,0.14246229066666669,Breads,93.1436,OUT045,Small,Tier 2,Supermarket Type1,2174.5028,Train,21
34,DRH01,17.5,Low Fat,0.097904029,Soft Drinks,174.8738,OUT046,Small,Tier 1,Supermarket Type1,2085.2856,Train,26
35,NCX29,10.0,Low Fat,0.089291137,Health and Hygiene,146.7102,OUT049,Medium,Tier 1,Supermarket Type1,3791.0652,Train,24
36,FDV20,20.2,Regular,0.059511812,Fruits and Vegetables,128.0678,OUT027,Medium,Tier 3,Supermarket Type3,2797.6916,Train,38
37,DRZ11,8.85,Regular,0.113123893,Soft Drinks,122.5388,OUT018,Medium,Tier 3,Supermarket Type2,1609.9044,Train,14
38,FDX10,6.385,Regular,0.123111453,Snack Foods,36.9874,OUT027,Medium,Tier 3,Supermarket Type3,388.1614,Train,38
39,FDB34,15.25,Low Fat,0.026480954,Snack Foods,87.6198,OUT027,Medium,Tier 3,Supermarket Type3,2180.495,Train,38
40,FDU02,13.35,Low Fat,0.102511504,Dairy,230.6352,OUT046,Small,Tier 1,Supermarket Type1,3435.528,Train,26
41,FDK43,9.8,Low Fat,0.02681843,Meat,126.002,OUT013,High,Tier 3,Supermarket Type1,2150.534,Train,36
42,FDA46,13.6,Low Fat,0.117818348,Snack Foods,192.9136,OUT049,Medium,Tier 1,Supermarket Type1,2527.3768,Train,24
43,FDC02,21.35,Low Fat,0.069102831,Canned,259.9278,OUT018,Medium,Tier 3,Supermarket Type2,6768.5228,Train,14
44,FDL50,12.15,Regular,0.042277867,Canned,126.5046,OUT013,High,Tier 3,Supermarket Type1,373.5138,Train,36
45,FDM39,6.42,Low Fat,0.089498926,Dairy,178.1002,OUT010,Small,Tier 3,Grocery Store,358.2004,Train,25
46,NCP05,19.6,Low Fat,0.018756953777777776,Health and Hygiene,153.3024,OUT045,Small,Tier 2,Supermarket Type1,2428.8384,Train,21
47,FDV49,10.0,Low Fat,0.025879577,Canned,265.2226,OUT045,Small,Tier 2,Supermarket Type1,5815.0972,Train,21
48,FDL12,15.85,Regular,0.121632721,Baking Goods,60.622,OUT046,Small,Tier 1,Supermarket Type1,2576.646,Train,26
49,FDS02,10.195000000000002,Regular,0.255394896,Dairy,196.8794,OUT019,Small,Tier 1,Grocery Store,780.3176,Train,38
50,NCL17,7.39,Low Fat,0.067779712,Health and Hygiene,143.8812,OUT046,Small,Tier 1,Supermarket Type1,3134.5864,Train,26
51,FDM40,10.195,Low Fat,0.159803853,Frozen Foods,141.5154,OUT013,High,Tier 3,Supermarket Type1,850.8924,Train,36
52,FDR13,9.895,Regular,0.028696932,Canned,117.0492,OUT013,High,Tier 3,Supermarket Type1,810.9444,Train,36
53,FDA43,10.895,Low Fat,0.065041581,Fruits and Vegetables,196.3794,OUT017,Small,Tier 2,Supermarket Type1,3121.2704,Train,16
54,NCP18,12.15,Low Fat,0.028760013,Household,151.4708,OUT017,Small,Tier 2,Supermarket Type1,4815.0656,Train,16
55,FDK21,7.905,Low Fat,0.010053105,Snack Foods,249.0408,OUT018,Medium,Tier 3,Supermarket Type2,6258.52,Train,14
56,NCX54,9.195,Low Fat,0.048157338,Household,106.1622,OUT045,Small,Tier 2,Supermarket Type1,2117.244,Train,21
57,DRK35,8.365,Low Fat,0.071958197,Hard Drinks,38.0506,OUT049,Medium,Tier 1,Supermarket Type1,796.9626,Train,24
58,FDY21,15.1,Low Fat,0.173481304,Snack Foods,194.511,OUT046,Small,Tier 1,Supermarket Type1,4910.275,Train,26
59,FDI26,5.94,Low Fat,0.061082177,Canned,180.0344,OUT019,Small,Tier 1,Grocery Store,892.172,Train,38
60,FDM20,10.0,Low Fat,0.0364918673,Fruits and Vegetables,246.9144,OUT018,Medium,Tier 3,Supermarket Type2,3185.1872,Train,14
61,FDV27,7.97,Regular,0.040071131,Meat,87.3514,OUT045,Small,Tier 2,Supermarket Type1,1062.6168,Train,21
62,FDF09,6.215,Low Fat,0.012090074,Fruits and Vegetables,38.2848,OUT027,Medium,Tier 3,Supermarket Type3,484.7024,Train,38
63,FDY40,15.5,Regular,0.15028599,Frozen Foods,51.0692,OUT019,Small,Tier 1,Grocery Store,147.8076,Train,38
64,FDY45,17.5,Low Fat,0.026015519,Snack Foods,255.8356,OUT027,Medium,Tier 3,Supermarket Type3,2543.356,Train,38
65,FDC46,17.7,Low Fat,0.195068226,Snack Foods,185.4266,OUT010,Small,Tier 3,Grocery Store,184.4266,Train,25
66,FDH19,19.35,Low Fat,0.033082215,Meat,172.5738,OUT035,Small,Tier 2,Supermarket Type1,4865.6664,Train,19
67,FDZ03,13.65,Regular,0.078946455,Dairy,186.024,OUT045,Small,Tier 2,Supermarket Type1,1118.544,Train,21
68,DRH37,17.6,Low Fat,0.041700756,Soft Drinks,164.8526,OUT045,Small,Tier 2,Supermarket Type1,2302.3364,Train,21
69,NCI17,8.645,Low Fat,0.143422643,Health and Hygiene,95.841,OUT046,Small,Tier 1,Supermarket Type1,2027.361,Train,26
70,FDJ58,15.6,Regular,0.105296072,Snack Foods,170.1764,OUT046,Small,Tier 1,Supermarket Type1,3435.528,Train,26
